Date,(INDEX) S&P Composite 1500 / Health Care - SEC - Total Return    
6/9/2017,48.94
6/12/2017,48.67
6/13/2017,49.02
6/14/2017,49.68
6/15/2017,49.54
6/16/2017,49.77
6/19/2017,51.41
6/20/2017,51.85
6/21/2017,53.65
6/22/2017,55.26
6/23/2017,55.2
6/26/2017,54.94
6/27/2017,53.48
6/28/2017,54.39
6/29/2017,53.04
6/30/2017,52.9
7/3/2017,53.13
7/4/2017,53.13
7/5/2017,53.99
7/6/2017,51.95
7/7/2017,52.89
7/10/2017,52.42
7/11/2017,52.35
7/12/2017,53.4
7/13/2017,53.49
7/14/2017,54.46
7/17/2017,54.03
7/18/2017,54.05
7/19/2017,55.26
7/20/2017,56.2
7/21/2017,56.06
7/24/2017,56
7/25/2017,55.04
7/26/2017,54.43
7/27/2017,53.32
7/28/2017,54.02
7/31/2017,53.77
8/1/2017,53.4
8/2/2017,53.11
8/3/2017,53.34
8/4/2017,53.02
8/7/2017,53.3
8/8/2017,52.55
8/9/2017,52.69
8/10/2017,50.69
8/11/2017,51.23
8/14/2017,52.25
8/15/2017,52.25
8/16/2017,52.68
8/17/2017,50.75
8/18/2017,50.15
8/21/2017,50.83
8/22/2017,52.58
8/23/2017,51.47
8/24/2017,51.88
8/25/2017,51.81
8/28/2017,52.72
8/29/2017,52.97
8/30/2017,53.82
8/31/2017,56.47
9/1/2017,56.38
9/4/2017,56.38
9/5/2017,55.69
9/6/2017,56.37
9/7/2017,58
9/8/2017,58.65
9/11/2017,59.95
9/12/2017,60.3
9/13/2017,59.7
9/14/2017,59.88
9/15/2017,59.45
9/18/2017,59.4
9/19/2017,58.06
9/20/2017,58.31
9/21/2017,57.5
9/22/2017,57.7
9/25/2017,57.21
9/26/2017,56.93
9/27/2017,57.04
9/28/2017,57.27
9/29/2017,58.21
10/2/2017,59.8
10/3/2017,59.81
10/4/2017,60.48
10/5/2017,60.58
10/6/2017,60.49
10/9/2017,59.32
10/10/2017,59.61
10/11/2017,59.97
10/12/2017,59.77
10/13/2017,59.26
10/16/2017,58.69
10/17/2017,60.66
10/18/2017,60.99
10/19/2017,61.94
10/20/2017,62.2
10/23/2017,61.76
10/24/2017,60.71
10/25/2017,60.47
10/26/2017,58.87
10/27/2017,58.89
10/30/2017,57.15
10/31/2017,57.08
11/1/2017,57.23
11/2/2017,56.63
11/3/2017,57.95
11/6/2017,57.39
11/7/2017,57.71
11/8/2017,58.14
11/9/2017,58.09
11/10/2017,57.06
11/13/2017,57.3
11/14/2017,56.68
11/15/2017,56.25
11/16/2017,58
11/17/2017,57.42
11/20/2017,56.78
11/21/2017,58.21
11/22/2017,58.18
11/23/2017,58.18
11/24/2017,58.55
11/27/2017,58.6
11/28/2017,59.72
11/29/2017,60.56
11/30/2017,61.78
12/1/2017,61.45
12/4/2017,59.45
12/5/2017,59.13
12/6/2017,58.92
12/7/2017,59.08
12/8/2017,60.74
12/11/2017,61.35
12/12/2017,61.98
12/13/2017,62.54
12/14/2017,60.9
12/15/2017,62.82
12/18/2017,62.79
12/19/2017,62.64
12/20/2017,62.23
12/21/2017,61.81
12/22/2017,61.34
12/25/2017,61.34
12/26/2017,61.46
12/27/2017,61.76
12/28/2017,61.96
12/29/2017,60.78
1/1/2018,60.78
1/2/2018,62.8
1/3/2018,64.3
1/4/2018,64.49
1/5/2018,65.97
1/8/2018,65.31
1/9/2018,67.19
1/10/2018,66.95
1/11/2018,67.78
1/12/2018,69.04
1/15/2018,69.04
1/16/2018,69.69
1/17/2018,71.34
1/18/2018,71.35
1/19/2018,72.15
1/22/2018,73.51
1/23/2018,72.72
1/24/2018,73.22
1/25/2018,74.78
1/26/2018,78.38
1/29/2018,77.96
1/30/2018,74.29
1/31/2018,71.81
2/1/2018,72.1
2/2/2018,69.71
2/5/2018,62.1
2/6/2018,63.84
2/7/2018,63.7
2/8/2018,57.92
2/9/2018,60.17
2/12/2018,61.74
2/13/2018,61.79
2/14/2018,63.79
2/15/2018,65.65
2/16/2018,66.76
2/19/2018,66.76
2/20/2018,65.01
2/21/2018,64.38
2/22/2018,64.06
2/23/2018,66.6
2/26/2018,68.64
2/27/2018,67.01
2/28/2018,64.35
3/1/2018,61.83
3/2/2018,63.68
3/5/2018,65.05
3/6/2018,65
3/7/2018,65.81
3/8/2018,67.03
3/9/2018,69.46
3/12/2018,68.8
3/13/2018,68.94
3/14/2018,68.07
3/15/2018,67.83
3/16/2018,67.97
3/19/2018,65.18
3/20/2018,65.36
3/21/2018,64.78
3/22/2018,60.18
3/23/2018,56.92
3/26/2018,60.14
3/27/2018,58.26
3/28/2018,59.02
3/29/2018,59.97
3/30/2018,59.97
4/2/2018,56.61
4/3/2018,58.97
4/4/2018,61.18
4/5/2018,61.18
4/6/2018,57.37
4/9/2018,58.79
4/10/2018,61.56
4/11/2018,60.25
4/12/2018,61.37
4/13/2018,61.21
4/16/2018,62.55
4/17/2018,63.96
4/18/2018,64.06
4/19/2018,62.78
4/20/2018,61.91
4/23/2018,62.49
4/24/2018,61.17
4/25/2018,61.84
4/26/2018,63.76
4/27/2018,64.48
4/30/2018,61.96
5/1/2018,62.14
5/2/2018,59.99
5/3/2018,58.68
5/4/2018,59.95
5/7/2018,59.83
5/8/2018,58.7
5/9/2018,59.71
5/10/2018,61.83
5/11/2018,64.15
5/14/2018,65.16
5/15/2018,63.13
5/16/2018,64.14
5/17/2018,64.22
5/18/2018,64.7
5/21/2018,64.86
5/22/2018,64.37
5/23/2018,64.96
5/24/2018,64.45
5/25/2018,64.31
5/28/2018,64.31
5/29/2018,62.68
5/30/2018,64.96
5/31/2018,63.25
6/1/2018,65.13
6/4/2018,65.8
6/5/2018,65.63
6/6/2018,67.53
6/7/2018,67.32
6/8/2018,68.54
6/11/2018,68.76
6/12/2018,68.77
6/13/2018,68.73
6/14/2018,69.67
6/15/2018,70.12
6/18/2018,68.58
6/19/2018,68.97
6/20/2018,69.37
6/21/2018,68.47
6/22/2018,69.11
6/25/2018,67.46
6/26/2018,67.11
6/27/2018,65.44
6/28/2018,65.82
6/29/2018,66.05
7/2/2018,66.69
7/3/2018,67.07
7/4/2018,67.07
7/5/2018,68.83
7/6/2018,71.24
7/9/2018,72.37
7/10/2018,73.01
7/11/2018,71.71
7/12/2018,73.66
7/13/2018,74.01
7/16/2018,72.8
7/17/2018,73.8
7/18/2018,73.91
7/19/2018,73.11
7/20/2018,72.78
7/23/2018,73.28
7/24/2018,74.58
7/25/2018,76.55
7/26/2018,76.37
7/27/2018,74.93
7/30/2018,74.94
7/31/2018,76.78
8/1/2018,77
8/2/2018,77.75
8/3/2018,78.75
8/6/2018,79.05
8/7/2018,79.01
8/8/2018,79.24
8/9/2018,79.11
8/10/2018,78.44
8/13/2018,78.45
8/14/2018,79.35
8/15/2018,79
8/16/2018,80.67
8/17/2018,81.36
8/20/2018,81.87
8/21/2018,81.98
8/22/2018,82.27
8/23/2018,82.09
8/24/2018,82.88
8/27/2018,83.66
8/28/2018,83.83
8/29/2018,85
8/30/2018,84.78
8/31/2018,84.88
9/3/2018,84.88
9/4/2018,83.62
9/5/2018,83.98
9/6/2018,84.03
9/7/2018,84.28
9/10/2018,83.73
9/11/2018,83.73
9/12/2018,84.66
9/13/2018,86.67
9/14/2018,86.23
9/17/2018,85.36
9/18/2018,86.39
9/19/2018,86.09
9/20/2018,87.78
9/21/2018,88.05
9/24/2018,88.39
9/25/2018,87.92
9/26/2018,88.2
9/27/2018,89.09
9/28/2018,89.78
10/1/2018,90.58
10/2/2018,90.28
10/3/2018,89.88
10/4/2018,87.95
10/5/2018,87.75
10/8/2018,87.35
10/9/2018,87.76
10/10/2018,83.28
10/11/2018,78.53
10/12/2018,81.15
10/15/2018,79.86
10/16/2018,85.13
10/17/2018,85.92
10/18/2018,83.8
10/19/2018,81.92
10/22/2018,80.53
10/23/2018,79.63
10/24/2018,73.65
10/25/2018,75.86
10/26/2018,73.93
10/29/2018,74.17
10/30/2018,76.12
10/31/2018,76.39
